num_proteins,total_primer_efficiency,greedy_time_sec,cross_hybridizations_cnt,proteins_with_reiterations_cnt,total_reiterations,unresolved_proteins_cnt,unresolved_proteins
2,14.95838587883135,153.137,0,0,0,0,
3,26.761724141493637,239.093,0,0,0,0,
4,31.858509542497444,276.877,0,0,0,0,
5,40.75532731594772,337.912,0,0,0,0,
6,50.95863323207077,400.13,0,0,0,0,
7,58.822277987188514,459.149,0,0,0,0,
8,65.22122446146776,501.263,0,0,0,0,
9,68.77624745000335,531.566,0,0,0,0,
10,77.91399680537776,606.485,0,0,0,0,
